instance,method,seed,n_vehicles,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,worst_cost,P_late,E_late_min,P_overload,E_overload_m3,missed_nodes,infeas_speed_arcs,tau_mean,tau_std,secs
peshawar_real,PTO-HGLS,1,18,99.70362337929647,82.14117158151421,193.8531649323736,17.562451797782266,113.85581208890945,119.48208310865044,0.65,2.4552714683015155,0.85,3.394844112183595,0.0,21.3,,,4.1
peshawar_real,Q-HGLS,1,21,111.0715925594939,98.4673140989036,232.3828612734125,12.60427846059031,120.05163023342092,122.45926365558616,1.0,10.68630515110117,0.25,0.4849816015176253,0.0,22.2,,,4.6
peshawar_real,RO-Eco,1,28,138.29538398249198,124.38017611072289,293.537215621306,13.91520787176912,145.74279352448224,146.2309268272735,0.75,3.140102812132062,0.1,0.0791013655812591,0.0,27.2,,,4.4
peshawar_real,S-HGLS,1,18,93.41256698228328,79.74680393544322,188.202457287646,13.665763046840048,106.04560992388244,106.98222029102648,0.0,0.0,0.8,2.982881523420024,0.0,15.4,,,4.1
peshawar_real,LA-SHGLS,1,18,93.45640765807892,81.4527066639011,192.22838772680657,12.003700994177812,106.91808343842024,107.3351430643103,0.7,1.5607039617317526,0.8,2.587832898045612,0.0,13.5,,,4.1
peshawar_real,D-HGLS,2,18,96.99039856296136,83.21185223492746,196.3799712744288,13.778546328033874,112.98815660892424,114.30346995145658,1.0,9.860500165437845,0.75,2.705260659880991,0.0,15.75,,,4.3
peshawar_real,PTO-HGLS,2,18,96.99039856296136,83.21185223492746,196.3799712744288,13.778546328033874,112.98815660892424,114.30346995145658,1.0,9.860500165437845,0.75,2.705260659880991,0.0,15.75,,,3.8
peshawar_real,Q-HGLS,2,18,100.97301780439692,86.17645152114521,203.37642558990268,14.796566283251716,114.02338205226046,116.76752920809808,0.55,1.4203550948161023,0.8,2.300274264255456,0.0,20.25,,,3.8
peshawar_real,RO-Eco,2,27,133.95859686792022,118.96975528148036,280.7686224642937,14.988841586439875,143.2342703939862,145.25424111293052,1.0,16.149974166630546,0.3,0.5781714390541743,0.0,26.05,,,4.1
peshawar_real,S-HGLS,2,18,94.9984308523784,83.62385969489291,197.3523088799473,11.374571157485487,109.16583597990962,111.0843975707268,1.0,7.74898566651442,0.9,2.406060937079885,0.0,12.35,,,3.5
peshawar_real,LA-SHGLS,2,18,93.36797825985396,81.37489161609707,192.0447442139891,11.993086643756884,105.07052315964496,105.4126707983903,1.0,20.387788249916337,0.75,2.711848615630533,0.0,11.1,,,3.4
peshawar_real,D-HGLS,3,18,98.48264320156512,82.71948563310352,195.2179860941243,15.763157568461583,106.66950288511804,107.29338489209582,1.0,13.912685185292384,1.0,3.2212616545984822,0.0,17.25,,,3.9
peshawar_real,PTO-HGLS,3,18,98.48264320156512,82.71948563310352,195.2179860941243,15.763157568461583,106.66950288511804,107.29338489209582,1.0,13.912685185292384,1.0,3.2212616545984822,0.0,17.25,,,3.8
peshawar_real,Q-HGLS,3,21,109.1864483672908,96.06392554040728,226.7108642753611,13.122522826883548,118.62218453096249,120.25895297063607,0.0,0.0,0.5,0.7487614134417737,0.0,23.25,,,3.8
peshawar_real,RO-Eco,3,28,133.2388437087408,118.95011895392722,280.72228073126826,14.288724754813591,142.27325820102092,143.58821306846505,0.0,0.0,0.1,0.231862377406795,0.0,27.65,,,4.0
peshawar_real,S-HGLS,3,18,95.09502287395388,83.63181225404331,197.37107691954225,11.463210619910535,104.73324455568589,104.7667361802979,1.0,14.746010013232643,0.7,1.6129550596244524,0.0,15.0,,,3.6
peshawar_real,LA-SHGLS,3,18,90.9842753148094,81.56619709309027,192.496225139693,9.41807822171915,100.63094379419395,102.11247533245296,0.5,1.6463907975809433,0.7,1.9553793409200508,0.0,10.85,,,3.6
solomon_c101,D-HGLS,1,25,552.9167940656416,528.9686468790463,1248.3660066345494,23.948147186595328,636.246397867483,682.9787732751413,1.0,39.886685091409255,0.1,4.139406466012432,0.0,27.35,,,4.0
solomon_c101,PTO-HGLS,1,25,552.9167940656416,528.9686468790463,1248.3660066345494,23.948147186595328,636.246397867483,682.9787732751413,1.0,39.886685091409255,0.1,4.139406466012432,0.0,27.35,,,3.9
solomon_c101,Q-HGLS,1,24,642.5725833142586,561.2048429925699,1324.4434294624648,81.36774032168861,694.9630937042159,738.6947867594931,1.0,1239.13289601412,0.05,2.655547760491319,0.0,28.2,,,4.0
solomon_c101,RO-Eco,1,27,620.3572221965405,568.2159720160851,1340.9896939579608,52.14125018045543,635.7064530677094,639.3673004541117,1.0,724.8250036091084,0.0,0.0,0.0,31.8,,,4.0
solomon_c101,S-HGLS,1,24,566.6093875848344,541.8464197517794,1278.7575506141995,24.76296783305508,649.6956922012406,696.3042933783594,1.0,42.18309802060439,0.1,4.139406466012432,0.0,28.75,,,3.7
solomon_c101,LA-SHGLS,1,25,586.1589926186128,563.1581546830721,1329.05324505205,23.00083793554083,671.8136131570673,717.9021609651146,1.0,43.44050007031934,0.1,4.139406466012432,0.0,25.1,,,3.7
solomon_c101,D-HGLS,2,23,582.9162509356897,534.0445277335635,1260.34508545121,48.87172320212623,743.8792096310395,830.2762158940782,1.0,113.30876110795398,0.5,15.790642573364266,0.0,23.25,,,3.9
solomon_c101,PTO-HGLS,2,23,582.9162509356897,534.0445277335635,1260.34508545121,48.87172320212623,743.8792096310395,830.2762158940782,1.0,113.30876110795398,0.5,15.790642573364266,0.0,23.25,,,3.8
