family,rep,step,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
solomon_r202,2,L1_scen_blind,1389.22872,260.82042,615.53619,1128.4083,1552.05469,0.0,0.0,0.0,1.0,13355.96599,1.0,11.0,20.1
solomon_r202,2,L2_recourse,354.40073,328.79462,775.95531,25.6061,383.66758,0.0,0.0,0.0,1.0,240.47207,0.0,16.0,20.1
solomon_r202,2,L3_dependence,366.30109,350.25319,826.59753,16.0479,393.36938,0.0,0.0,0.0,1.0,43.15793,0.0,17.0,20.1
solomon_r202,2,L4_conformal,366.30109,350.25319,826.59753,16.0479,393.36938,0.0,0.0,0.0,1.0,43.15793,0.0,17.0,30.1
solomon_r202,2,L5_dro,361.24598,338.40755,798.64181,22.83843,389.65401,0.0,0.0,0.0,1.0,159.16864,0.0,16.0,30.1
solomon_r202,2,L6_policy,361.24598,338.40755,798.64181,22.83843,389.65401,0.0,0.0,0.0,1.0,159.16864,0.0,16.0,50.1
solomon_r202,2,L7_safeguard,361.24598,338.40755,798.64181,22.83843,389.65401,0.0,0.0,0.0,1.0,159.16864,0.0,16.0,50.1
solomon_rc101,1,L0_det,659.35271,543.72029,1283.17988,115.63242,839.50912,0.035,0.035,2.24029,1.0,1481.29849,0.315,28.0,20.1
solomon_rc101,1,L1_scen_blind,3548.45719,380.95772,899.06022,3167.49947,3682.78095,0.0,0.0,0.0,1.0,1490.38947,1.0,15.0,20.1
solomon_rc101,1,L2_recourse,628.73473,536.48777,1266.11114,92.24695,764.14441,0.035,0.035,2.91216,1.0,1329.58908,0.155,25.0,20.1
solomon_rc101,1,L3_dependence,632.71907,551.48913,1301.51434,81.22995,735.10387,0.0,0.0,0.0,1.0,1263.7489,0.05,29.0,20.1
solomon_rc101,1,L4_conformal,669.11731,607.83398,1434.48819,61.28333,756.65651,0.0,0.0,0.0,1.0,870.01665,0.05,33.0,30.1
solomon_rc101,1,L5_dro,685.67467,636.92279,1503.13778,48.75188,747.09632,0.0,0.0,0.0,1.0,686.48755,0.005,35.0,30.1
solomon_rc101,1,L6_policy,652.9907,591.69855,1396.40859,61.29214,739.07674,0.01,0.01,0.80234,1.0,899.79287,0.025,31.0,50.1
solomon_rc101,1,L7_safeguard,632.71907,551.48913,1301.51434,81.22995,735.10387,0.0,0.0,0.0,1.0,1263.7489,0.05,29.0,50.1
solomon_rc101,2,L0_det,634.79899,541.41807,1277.74664,93.38092,783.72955,0.01,0.01,0.8109,1.0,1173.06838,0.255,27.0,20.1
solomon_rc101,2,L1_scen_blind,3111.29443,408.77751,964.71491,2702.51693,3348.36514,0.005,0.005,0.43012,1.0,2364.93857,1.0,16.0,20.1
solomon_rc101,2,L2_recourse,676.40033,556.69824,1313.80786,119.70209,938.66083,0.01,0.01,0.8109,1.0,1228.04179,0.325,27.0,20.1
solomon_rc101,2,L3_dependence,669.93215,593.85603,1401.50022,76.07612,799.79547,0.02,0.02,1.46095,1.0,1003.12241,0.12,32.0,20.1
solomon_rc101,2,L4_conformal,635.93731,565.34819,1334.22173,70.58912,750.04082,0.005,0.005,0.40311,1.0,963.7824,0.095,30.0,30.1
solomon_rc101,2,L5_dro,620.57164,544.65694,1285.39037,75.91471,722.29002,0.005,0.005,0.44204,1.0,1123.74414,0.065,28.0,30.1
solomon_rc101,2,L6_policy,644.88187,572.80462,1351.81891,72.07725,760.1934,0.005,0.005,0.44204,1.0,992.29504,0.08,29.0,50.1
solomon_rc101,2,L7_safeguard,644.88187,572.80462,1351.81891,72.07725,760.1934,0.005,0.005,0.44204,1.0,992.29504,0.08,29.0,50.1
solomon_rc201,1,L0_det,463.04055,432.28033,1020.18157,30.76022,494.00592,0.0,0.0,0.0,1.0,366.55449,0.0,18.0,20.1
solomon_rc201,1,L1_scen_blind,2129.17268,342.77139,808.94047,1786.40129,2227.07685,0.0,0.0,0.0,1.0,15650.17578,1.0,13.0,20.1
solomon_rc201,1,L2_recourse,427.51478,384.07859,906.42547,43.43619,463.1259,0.0,0.0,0.0,1.0,615.72387,0.0,16.0,20.1
solomon_rc201,1,L3_dependence,451.08274,404.59848,954.85241,46.48426,482.99377,0.0,0.0,0.0,1.0,675.08515,0.0,16.0,20.1
solomon_rc201,1,L4_conformal,451.08274,404.59848,954.85241,46.48426,482.99377,0.0,0.0,0.0,1.0,675.08515,0.0,16.0,30.1
solomon_rc201,1,L5_dro,441.2743,415.11735,979.67694,26.15695,469.00113,0.0,0.0,0.0,1.0,273.63908,0.0,16.0,30.1
solomon_rc201,1,L6_policy,441.2743,415.11735,979.67694,26.15695,469.00113,0.0,0.0,0.0,1.0,273.63908,0.0,16.0,50.1
solomon_rc201,1,L7_safeguard,441.2743,415.11735,979.67694,26.15695,469.00113,0.0,0.0,0.0,1.0,273.63908,0.0,16.0,50.1
solomon_rc201,2,L0_det,458.11416,426.68834,1006.98447,31.42583,499.83442,0.0,0.0,0.0,1.0,349.76657,0.02,17.0,20.1
solomon_rc201,2,L1_scen_blind,2034.1195,290.49321,685.56397,1743.62629,2127.95976,0.0,0.0,0.0,1.0,19648.82581,1.0,11.0,20.1
solomon_rc201,2,L2_recourse,476.56252,452.26435,1067.34387,24.29817,510.12609,0.0,0.0,0.0,1.0,241.8133,0.0,17.0,20.1
solomon_rc201,2,L3_dependence,469.33856,428.01443,1010.11406,41.32413,496.94374,0.0,0.0,0.0,1.0,581.28254,0.0,16.0,20.1
solomon_rc201,2,L4_conformal,469.33856,428.01443,1010.11406,41.32413,496.94374,0.0,0.0,0.0,1.0,581.28254,0.0,16.0,30.1
solomon_rc201,2,L5_dro,470.71574,442.79079,1044.98626,27.92495,500.0752,0.0,0.0,0.0,1.0,312.849,0.0,17.0,30.1
solomon_rc201,2,L6_policy,469.21953,441.73458,1042.49362,27.48495,498.59877,0.0,0.0,0.0,1.0,312.849,0.0,17.0,50.1
solomon_rc201,2,L7_safeguard,469.33856,428.01443,1010.11406,41.32413,496.94374,0.0,0.0,0.0,1.0,581.28254,0.0,16.0,50.1
