family,rep,method,kind,mag,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
peshawar_real,2,SAA,demand_mean,0.1,107.46736,91.75986,216.55327,15.7075,171.422,0.28,0.415,3.92858,0.0,0.0,0.1,27.0
peshawar_real,2,SAA,demand_mean,0.2,116.00962,95.00212,224.205,21.0075,188.99515,0.44,0.815,8.07101,0.0,0.0,0.175,27.0
peshawar_real,2,SAA,demand_mean,0.3,129.26445,99.01695,233.68,30.2475,228.24687,0.635,1.56,16.06848,0.0,0.0,0.27,27.0
peshawar_real,2,SAA,demand_var,0.25,102.93562,89.02812,210.10637,13.9075,157.76614,0.19,0.265,2.35565,0.0,0.0,0.08,27.0
peshawar_real,2,SAA,demand_var,0.5,104.43758,89.28008,210.701,15.1575,163.72444,0.27,0.39,3.57709,0.0,0.0,0.1,27.0
peshawar_real,2,SAA,congestion,0.1,103.55483,88.83733,209.65611,14.7175,164.92769,0.125,0.17,1.51813,0.0,0.0,0.09,27.0
peshawar_real,2,SAA,congestion,0.2,105.54787,88.83037,209.63968,16.7175,172.28377,0.125,0.17,1.51813,0.0,0.0,0.125,27.0
peshawar_real,2,SAA,feas_drop,0.2,101.57495,88.85745,209.70358,12.7175,146.62168,0.125,0.17,1.51813,0.0,0.0,0.06,27.0
peshawar_real,2,Q90C,demand_mean,0.1,103.93401,92.34901,217.94367,11.585,140.40005,0.17,0.205,1.95728,0.0,0.0,0.035,28.0
peshawar_real,2,Q90C,demand_mean,0.2,109.44241,95.44741,225.25589,13.995,159.41137,0.36,0.535,5.29307,0.0,0.0,0.07,28.0
peshawar_real,2,Q90C,demand_mean,0.3,121.62268,99.43768,234.67292,22.185,193.10033,0.575,1.255,13.11775,0.0,0.0,0.185,28.0
peshawar_real,2,Q90C,demand_var,0.25,100.77022,89.81522,211.96391,10.955,132.90786,0.11,0.14,1.30156,0.0,0.0,0.025,28.0
peshawar_real,2,Q90C,demand_var,0.5,101.12848,89.86348,212.07781,11.265,135.02053,0.14,0.17,1.58512,0.0,0.0,0.03,28.0
peshawar_real,2,Q90C,congestion,0.1,101.84635,89.73135,211.76599,12.115,143.63881,0.075,0.095,0.91792,0.0,0.0,0.05,28.0
peshawar_real,2,Q90C,congestion,0.2,105.08323,89.71823,211.73503,15.365,172.65166,0.075,0.095,0.91792,0.0,0.0,0.1,28.0
peshawar_real,2,Q90C,feas_drop,0.2,100.35049,89.73549,211.77575,10.615,130.69439,0.075,0.095,0.91792,0.0,0.0,0.02,28.0
peshawar_real,2,RO,demand_mean,0.1,115.84797,105.68047,249.4059,10.1675,139.79319,0.055,0.07,0.39726,0.0,0.0,0.005,34.0
peshawar_real,2,RO,demand_mean,0.2,119.57546,108.27796,255.53598,11.2975,152.14499,0.1,0.135,1.08301,0.0,0.0,0.025,34.0
peshawar_real,2,RO,demand_mean,0.3,123.71795,111.08045,262.14987,12.6375,166.12213,0.21,0.305,2.73341,0.0,0.0,0.045,34.0
peshawar_real,2,RO,demand_var,0.25,113.36586,103.20836,243.57174,10.1575,137.31417,0.05,0.065,0.36021,0.0,0.0,0.005,34.0
peshawar_real,2,RO,demand_var,0.5,113.67614,103.23864,243.6432,10.4375,140.25125,0.055,0.08,0.52034,0.0,0.0,0.01,34.0
peshawar_real,2,RO,congestion,0.1,113.26119,103.16369,243.46632,10.0975,137.14599,0.025,0.035,0.14368,0.0,0.0,0.005,34.0
peshawar_real,2,RO,congestion,0.2,113.5105,103.163,243.46469,10.3475,139.63908,0.025,0.035,0.14368,0.0,0.0,0.005,34.0
peshawar_real,2,RO,feas_drop,0.2,113.01229,103.16479,243.46891,9.8475,134.65699,0.025,0.035,0.14368,0.0,0.0,0.0,34.0
peshawar_real,2,DFR,demand_mean,0.1,107.46736,91.75986,216.55327,15.7075,171.422,0.28,0.415,3.92858,0.0,0.0,0.1,27.0
peshawar_real,2,DFR,demand_mean,0.2,116.00962,95.00212,224.205,21.0075,188.99515,0.44,0.815,8.07101,0.0,0.0,0.175,27.0
peshawar_real,2,DFR,demand_mean,0.3,129.26445,99.01695,233.68,30.2475,228.24687,0.635,1.56,16.06848,0.0,0.0,0.27,27.0
peshawar_real,2,DFR,demand_var,0.25,102.93562,89.02812,210.10637,13.9075,157.76614,0.19,0.265,2.35565,0.0,0.0,0.08,27.0
peshawar_real,2,DFR,demand_var,0.5,104.43758,89.28008,210.701,15.1575,163.72444,0.27,0.39,3.57709,0.0,0.0,0.1,27.0
peshawar_real,2,DFR,congestion,0.1,103.55483,88.83733,209.65611,14.7175,164.92769,0.125,0.17,1.51813,0.0,0.0,0.09,27.0
peshawar_real,2,DFR,congestion,0.2,105.54787,88.83037,209.63968,16.7175,172.28377,0.125,0.17,1.51813,0.0,0.0,0.125,27.0
peshawar_real,2,DFR,feas_drop,0.2,101.57495,88.85745,209.70358,12.7175,146.62168,0.125,0.17,1.51813,0.0,0.0,0.06,27.0
